kanji,reading,meaning,kaku
研究室,けんきゅうしつ,office (ie: professor's),
授業,じゅぎょう,class (lecture),
期末試験,きまつしけん,final exam,
受ける,う（ける）,"to take (a class, test), to receive",hai
推薦状,すいせんじょう,recommendation,
留学,りゅうがく,study abroad,hai
奨学金,しょうがくきん,scholarship,
申し込む,もう（し）こ（む）,to apply,hai
締め切り,し（め）き（り）,deadline,
送る,おく（る）,to send,hai
頼む,たの（む）,to ask a favor,hai
痛い,いた（い）,painful,
教室,きょうしつ,classroom,
宿題,しゅくだい,homework,
部屋,へや,room,hai
寄る,よ（る）,to stop by,
情報,じょうほう,information,
交換,こうかん,exchange,
利用する,りよう（する）,to use,hai
授業料,じゅぎょうりょう,tuition,
数,かず,number,hai
同じ,おな（じ）,"same (noun/verb acting prenominally, cf. 似ている（似る）：to be similar)",
選ぶ,えら（ぶ）,to choose,
面接,めんせつ,interview,
成績,せいせき,grade,
性格,せいかく,character; personality,
態度,だいど,attitude,
目的,もくてき,aim; goal; purpose,hai
優先,ゆうせん,priority,
以外,いがい,other than; besides; excepting,
場合,ばあい,case; situation,
助ける,たす（ける）,"to help, to save/rescue",
全部,ぜんぶ,all; entire (NB: only for inanimate objects) (cf. 全員),
帰国,きこく,a return to one's home country (する：to return...),
単位,たんい,credit (for a course),
交渉,こうしょう,negotation,
認める,みと（める）,"to approve, acknoledge, to admit, to recognize",
国際学部,こくさいがくぶ,International Division (of University),
文学,ぶんがく,Literature,hai
歴史,れきし,History,hai
経済,けいざい,Economics,hai
政治,せいじ,Politics,hai
宗教,しゅうきょう,Religion,hai
音楽,おんがく,Music,hai
普通,ふつう,"the common, usual, ordinary",hai
活動,かつどう,activity,
家庭,かてい,"home, household",
特に,とく（に）,"particularlly, especially",
希望,きぼう,wish; hope,
者,もの,person,
悪い,わる（い）,bad,
住宅事情,じゅうたくじじょう,housing condition,
留学希望者,りゅうがくきぼうしゃ,one who wishes to go study abroad,
忘れる,わす（れる）,to forget,
〜枚,〜まい,"counter for thin, flat objects",
お願い,（お）ねが（い）,a request,
伺う,うかが（う）,hum. form of 行く、来る、聞く,
用紙,ようし,form,
主（な）,おも（な）,"main (ie: the main ""topic"", etc)",
行う,おこな（う）,"to carry out, to conduct (usually used in written lang.)",
・,ほとんど〜ない,hardly,
