kanji,reading,meaning,kaku
店,みせ,shop; store; restaurant,hai
注文する,ちゅうもん（する）,to order,hai
引用する,いんよう（する）,to quote,hai
以上,いじょう,more than,hai
勤める,つと（める）,to work for,
同僚,どうりょう,colleague,hai
ご飯,（ご）はん,rice,
丼,どんぶり,you know what it is boi,
実物,じつぶつ,actual thing,
卵,"たまご",egg,
店員,てんいん,clerk; shop employee,hai
親子,おやこ,parent and child,hai
生む,う（む）,to lay (an egg); to give birth,
昼食,ちゅうしょく,lunch (more polite),
五十代,ごじゅうだい,In one's fifties (age wise),hai
１９９０年代,（１９９０）ねんだい,Nineties (year wise ie: 1990s),
込む,こ（む）,to be crowded,
腰をかける,こし（をかける）,to sit (hum. of 座る）,
座る,すわ（る）,to sit,
お茶,（お）ちゃ,green tea,
召し上がる,め（し）あ（がる）,to eat/drink (hon. of 食べる・飲む),
参る,まい（る）,to come/go (hum. (courteous) of 行く・来る),
請求書,せいきゅうしょ,bill; invoice,
払う,はら（う）,to pay,
全部,ぜんぶ,all; entire (NB: only for inanimate objects) (cf. 全員),hai
席に着く,せき（に）つ（く）,"to seat oneself (lit. ""to arrive at a seat"")",
辺り,あた（り）,vicinity,
腹がへる,はら（がへる）,to be hungry,
お腹がへる,（お）なか（がへる）,"to be hungry (more polite, note reading change)",
売る,う（る）,to sell,
外国,がいこく,foreign country,hai
日本化する,にほんか（する）,"to Japanize (日本化 ""Japanization"")",
旅行,りょこう,travel,hai
習慣,しゅうかん,custom,hai
面倒（な）,めんどう（な）,troublesome,
（〜と）感じる,（〜と）かん（じる）,to feel (that ~),
例,れい,example,hai
運転手,うんてんしゅ,"driver, chauffeur",
渡す,わた（す）,to hand to someone,
荷物,にもつ,luggage; baggage,
運ぶ,はこ（ぶ）,to carry,hai
片付ける,かたづ（ける）,to clean; to tidy up,
何度も,なんど（も）,many times,hai
旅館,りょかん,Japanese-style inn,
泊まる,と（まる）,"to stay (ie: hotel, 旅館 for a short time)",hai
決まる,き（まる）,"to be decided, fixed, arraged",
宿泊料,しゅくはくりょう,hotel charges,
簡単,かんたん,simple; easy,
（〜に）含まれる,（〜に）ふく（まれる）,to be include (in 〜) (pass. 含む),
含む,ふく（む）,to include,
計算する,けいさん（する）,to calculate,
美容院,びよういん,beauty salon,
床屋,とこや,barber shop,
（〜と／に）比べる,（〜と／に）くら（べる）,to compare (with ~),hai
高級（な）,こうきゅう（な）,high class; first rate,hai
料理屋,りょうりや,Japanese-style restaurant,
普通,るつう,normal; ordinary; usual,hai
必要（な）,ひつよう（な）,necessary,hai
必要ない,ひつよう（ない）,not necessary,
物価,ぶっか,prices (of commodities),hai
意外に,いがい（に）,expectedly; unexpectedly ,
宣伝,せんでん,advertisement,
・,なるほど,(phrase),
・,やめる,"to refrain (from), stop (something) (transitive, 〜を)",
・,おごる,to treat (someone to food/drink) (don't use to superiors),
・,ごちそうになる,to be treated by someone,
（〜を）降りる,（〜を）お（りる）,to get off 〜; to get out of (a vehicle),
食堂,しょくどう,dining room,
・,（〜が）いる,to need 〜,
心配,しんぱい,worry (する：to worry),
・,むしろ,rather,
この間,（この）あいだ,"the other day, recently",
訪ねる,たず（ねる）,to visit,
様,さま,hon. of さん,
