kanji,reading,meaning,kaku
外来語,がいらいご,loan word,hai
体験,たいけん,personal experience,
過去,かこ,the past,hai
述べる,の（べる）,to state,
紹介する,しょうかい（する）,to introduce,
お手洗い,（お）てあら（い）,"toilet, WC, washroom",
困る,こま（る）,"to be in trouble, to be troubled",
一生懸命,いっしょうけんめい,as hard as one can,
発音,はつおん,pronunciation,hai
楽な,らく（な）,"easy, comfortable",
暮らし,く（らし）,"living, life style",
俳優,はいゆう,actor / actress,
立派な,りっぱ（な）,splendid,
普通,ふつう,common; usual; ordinary (uses の）,
運転手,うんてんしゅ,driver,
笑う,わら（う）,to laugh,hai
謙遜する,けんそん（する）,to be modest,
助詞,じょし,particle (grammar),hai
反対,はんたい,"the opposite, oposition（する：to oppose)",hai
直す,なお（す）,"to fix, correct",
複雑な,ふくざつ（な）,complicated,
敬語,けいご,honorific expression,hai
正式に,せいしき（に）,"formally, officially",
決める,き（める）,to decide,
極めて,きわ（めて）,extremely,
大半,だいはん,most of,hai
中年婦人,ちゅうねんふじん,middle aged woman,
暇な,ひま（な）,free (in schedule),
文,ぶん,sentence,hai
授業,じゅぎょう,class,
黒板,こくばん,blackboard,
写す,うつ（す）,to copy,
進歩,しんぽ,"progress, advancement",hai
認める,みと（める）,"to notice, to recognize",hai
唐,とう,Tang Dynasty,
時代,じだい,era,hai
詩,し,poem; poetry,hai
自習,じしゅう,self-study,hai
定食,ていしょく,fixed price lunch,
大学院生,だいがくいんせい,graduate student,
中華料理,ちゅうかりょうり,Chinese food,
誘う,さそ（う）,to invite,
喜んで,よろこ（んで）,"delightedly, gladly",
応じる,おう（じる）,"to respond, to aggree, to accept",hai
誘いに応じる,さそ（いに）おう（じる）,to accept someone's invitation,
ご馳走になる,（ご）ちそう（になる）,to be treated (eg: to a meal),
片言,かたこと,"broken (ie: broken language, English, Japanese, etc.)",
別荘,べっそう,summer house,
家庭教師,かていきょうし,private tutor,
・,サボる,to loaf (on the job); to skip (school),
励ます,はげ（ます）,to encourage,hai
勧める,すす（める）,to urge someone (に) to do something (を）,hai
反日感情,はんにちかんじょう,anti-Japanese sentiment,hai
恥ずかしい,は（ずかしい）,embarassing; to be embarrassed,
人並み,ひとな（み）,"being average, ordinary",
欲望,よくぼう,desire,
アメリカ合衆国,（アメリカ）がっしゅうこく,The United States of America,hai
南部,なんぶ,the southern parts (of a region),hai
既に,すで（に）,already,
果樹園,かじゅえん,orchard,
果物,くだもの,fruit,
折る,お（る）,to snap,
指差す,ゆびさ（す）,to point,
最初に,さいしょ（に）,firstly,hai
記念する,きねん（する）,to commemorate,
小学校,しょうがっこう,elementary school,
教科書,きょうかしょ,textbook,hai
齢,よわい・とし,age,
趣味,しゅみ,hobby,
異なる,こと（なる）,to be different from,
終身,しゅうしん,moral education,
読本,どくほん,a reading book,
道徳観,どうとくかん,view of morality,hai
〜観,〜かん,view of 〜,
矛盾,むじゅん,contradiction,
難解さ,なんかい（さ）,difficulty of understanding,
自体,じたい,itself,
興味,きょうみ,interest,
克服する,こくふく（する）,to overcome,hai
戻る,もど（る）,to return,
習う,なら（う）,to learn,
再び,ふたた（び）,again,
国籍,こくせき,nationalitiy,
山荘,さんそう,mountain cottage,
主,ぬし,owner,
脱落する,だつらく（する）,to drop out,
頑張る,がんば（る）,to try as hard as one can,
理解,りかい,an understanding（する：to understand),
