kanji,reading,meaning,kaku
求める,もと（める）,to seek (ie: advice アドバイスを),hai
与える,あた（える）,"to give, to bestow (ie: advice アドバイスを)",hai
指導教授,しどうきょうじゅ,academic advisor,
発表,はっぴょう,announcement (する：to announce),hai
建物,たてもの,building,
〜号室,〜ごうしつ,counter for room number,
場所,ばしょ,place,
相談,そうだん,"a consultation, discussion (する：to consult)",
移る,うつ（る）,"to move, transfer (in general) (cf. 引っ越す：to move (residence))",hai
成績,せいせき,grade,
予習,よしゅう,to prepare for class,hai
・,ほかに,"In addition, besides",
現代史,げんだいし,Contemporary history,hai
社会学,しゃかいがく,Sociology,hai
学期末,がっきまつ,the end of semester,hai
様子,ようす,condition; circumstance; situation,
部員,ぶいん,member; staff,hai
勧誘,かんゆう,"invitation, solicitation (する：to invite, solicit (eg: to join a club))",
新入生,しんにゅうせい,new student,
居酒屋,いざかや,Japanese-style pub,
歓迎会,かんげいかい,welcome party,
一生けんめい,いっしょう（けんめい）,"very hard, with utmost effort, for dear life (一生懸命)",
将来,しょうらい,in the future,
一流（の）,いちりゅう（の）,"first-rate, foremost (noun with gen. case particle の)",
就職する,しゅうしょく（する）,to get a job,
部活動,ぶかつどう,club activities,hai
生徒,せいと,student; pupil,hai
増える,ふ（える）,to increase (intransitive: 〜が増える),hai
減る,へ（る）,to decrease (intransitive: 〜が減る),
授業,じゅぎょう,class (lecture),
塾,じゅく,cram school,
予備校,よびこう,prep-school (rōnin year),
落ちる,お（ちる）,to fail (intransitive 〜に落ちる),hai
希望,きぼう,a hope (する：to hope for),
浪人,ろうにん,a masterless samurai; student who studies for a year after failing college entrance exam,
次の年,つぎ（の）とし,next year,
次（の）,つぎ（の）,next (noun w/gen. case particle の),
次（に）,つぎ（に）,"next, then, after that (conj.)",
傾向,けいこう,tendency,hai
最近,さいきん,"recently, these days",
変わる,か（わる）,to change (intransitive) (〜が）,
変える,か（える）,to change (transitive) (〜を),
確かに,たし（かに）,certainly,
大切（な）,たいせつ（な）,important,hai
調査,ちょうさ,"survey, inquiry, research",
理由,りゆう,reason,hai
少子化,しょうしか,decrease in number of children due to low birth rate,hai
子供,こども,child,
必ずしも,かなら（ずしも）,not necessarily,
強い,つよ（い）,strong,
関して,かん（して）,about; concerning,hai
一般的（に）,いっぱんてき（に）,generally,hai
楽（な）,らく（な）,"easy, comfortable",
講義,こうぎ,lecture,
点,てん,"point (mark, score, grade, point; also of an argument)",hai
重要（な）,じゅうよう（な）,"important, principal, essential",hai
第一,だいいち,"first, foremost, number one",hai
年々,ねんねん,every year,
付き合い,つ（き）あ（い）,socialization; association,
時代,じだい,age; period; era,hai
伺う,うかが（う）,to ask (hum. 聞く),
玄関,げんかん,entrance (to house or building),
もう一歩,（もう）いっぽ,just one more step (ie: just a bit more improvement),
島,しま,island,
・,ため,"sake, purpose, objective",
・,もちろん,"definitely, certainly, naturally",
好く,す（く）,to like (transitive を),
少ない,すく（ない）,"few, low in number",
・,また,also,
場合,ばあい,"case, situation",
