kanji,reading,meaning,kaku
会釈,えしゃく,to greet by bowing slightly,
意味,いみ,the meaning,hai
天気,てんき,weather,
失礼します,しつれい（します）,"excuse me, (goodbye)",
目覚まし時計,めざ（まし）どけい,alarm clock,
寮,りょう,dorm,
部屋,へや,room,hai
同室,どうしつ,the same room,
声,こえ,voice,
寝る,ね（る）,"to go to bed (vs 眠る：to sleep, to be asleep)",
眠い,ねむ（い）,sleepy,
終わる,お（わる）,to end,hai
大変（な）,たいへん（な）,class (lecture),
授業,じゅぎょう,to be late,
遅れる,おく（れる）,to fall,
降る,ふ（る）,to hurry,
急ぐ,いそ（ぐ）,to invite,
誘う,さそ（う）,high school days,
高校時代,こうこうじだい,classmate,hai
手紙,てがみ,handwritten letter,
〜号室,〜ごうしつ,counter for room number,
質問,しつもん,question,
言葉,ことば,a word; language,hai
多分,たぶん,probably,hai
病気,びょうき,sickness; illness,
非常に,ひじょう（に）,extremely,
代わりに,か（わりに）,instead of,hai
寒い,さむ（い）,cold,
当たる,あ（たる）,to correspond (to),
別れる,わか（れる）,to part; to say farewell,hai
相手,あいて,a partner; an opponent; the other party; the person you are talking to,hai
目上,めうえ,one's superior (older person),hai
目下,めした,one's inferior (younger person),
訳す,やく（す）,to translate,hai
説明,せつめい,explanation (する：to explain),hai
顔,かお,face,
実は,じつ（は）,actually... (は topic particle),
例えば,たと（えば）,for example...,hai
例,れい,example,hai
それに対して,（それに）たい（して）,in response to that...,
数日前,すうじつまえ,a few days ago,
先日,せんじつ,the other day,
覚える,おぼ（える）,to remember,hai
決まる,き（まる）,to be decided,hai
文句,もんく,phrase; remark; expression,
決まり文句,き（まり）もんく,set phrase,
用語,ようご,terms,
一般的に,いっぱんてき（に）,generally,hai
客,きゃく,guest,
食事,しょくじ,meal,
大事（な）,だいじ（な）,important,hai
社会,しゃかい,a society,hai
教育,きょういく,education,hai
・,あいさつ,greeting,
朝,あさ,morning,
・,けさ,this morning,
・,おかしい,strange; odd; funny,
頭,あたま,head,
外,そと,outside,
大雨,おおあめ,pouring rain,
先に,さき（に）,to be ahead (of someone),
同級生,こうきゅうせい,classmate,
日米,にちべい,Japan and the US,
（〜に）困る,（〜に）こま（る）,to have difficulty (with ~),
友人,ゆうじん,friend,
