kanji,reading,meaning,kaku
・,おじぎ,bow,
敬語,けいご,honorific expression,
初めて,はじ（めて）,for the first time,
留学する,りゅうがく（する）,to study abroad,hai
高校,こうこう,high school,hai
宿題,しゅくだい,homework,
教える,おし（える）,"to teach, to tell",hai
友達,ともだち,friend,
大学院,だいがくいん,graduate school,hai
電気工学,でんきこうがく,electrical engineering,
専攻,せんこう,major (する：to major),hai
学部,がくぶ,department (education),hai
好き,す（き）,"a fondness, a liking",
趣味,しゅみ,hobby,
一度,いちど,once,
〜に興味を持つ,（〜に）きょうみ（を）も（つ）,to have an interest in ~,
中学,ちゅうがく,middle school (junior high),hai
家族,かぞく,"family, family members",
遊ぶ,あそ（ぶ）,"to play, to have fun",hai
文化,ぶんか,culture,hai
知識,ちしき,knowledge,
豊富（な）,ほうふ（な）,plenty,
卒業する,そつぎょう（する）,to graduage,hai
勤める,つと（める）,"to work (for), be employed (at)",
休暇,きゅうか,vacation,
取る,と（る）,to take (ie: a class) (撮る：to take a picture),hai
生まれる,う（まれる）,to be born,hai
育つ,そだ（つ）,to grow up,hai
名刺,めいし,business card,
所,ところ,place,
泊まる,と（まる）,"to stay (ie: a hotel, 旅館)",
泊める,と（める）,to have 〜 stay (over night) (transitive),
・,ていねい（な）,polite,
迎えに来る,むか（えに）く（る）,to go and get (ie: to pick up),
見つかる,みつかる,to be found (intransitive),
見つける,みつける,to find (transitive),
呼ぶ,よ（ぶ）,to call (ie: call by name),
自分,じぶん,oneself,hai
年上,としうえ,older,hai
年下,としした,younger,hai
時差ぼけ,じさ（ぼけ）,jet lag,
眠る,ねむ（る）,"to sleep, to be asleep (vs 寝る：go to bed)",
連れて行く,つ（れて）い（く）,to take someone (along),
結局,けっきょく,in the end,
適当（な）,てきとう（な）,appropriate,
引っ越す,ひっこ（す）,to move,
知人,ちじん,acquaintance,hai
若い,わかい,younger,hai
男性,だんせい,man,hai
自己紹介,じこしょうかい,self-introduction,
仕方,しかた,way of doing (something),
習う,なら（う）,to learn,
中年,ちゅうねん,middle-aged,
女性,じょせい,woman,hai
お互いの,（お）たが（いの）,each other,
美しい,うつく（しい）,beautiful,
娘,むすめ,daughter,
考える,かんが（える）,"to think about, to consider",hai
違う,ちが（う）,to differ (ie: is different),
文法,ぶんぽう,grammar,hai
両親,りょうしん,parents,
・,ぜひ,"by all means,...",
・,ところで,by the way,
飛行機,ひこうき,airplane,
（〜に）座る,（〜に）すわ（る）,to sit (in/on ~),
空港,くうこう,airport,
迎える,むか（える）,to greet,
・,どうも,somehow; no matter how hard one may try,
歩く,ある（く）,to walk,
・,ずいぶん,quite a lot,
